Kanji,Kana,English,Romaji
何百,なんびゃく,hundreds of,nanbyaku  
何千,なんぜん,thousands of,nanzen  
がくんと,がくんと,with a sudden drop; decline,gakunto  
飛び下りる,とびおりる,to jump down,tobi oriru  
通行止め,つうこうどめ,roadblock; no-entry,tsuukou dome  
行き止まり,いきどまり,dead end,ikidomari  
真ん丸,まんまる,perfectly round,manmaru  
いつの間に,いつのまに,without realizing,itsunomani  
くっ付ける,くっつける,to stick together;kiss,kutsukeru  
付け足す,つけたす,to add (something),tsuketasu  
得する,とくする,to benefit;taking advantage,tokusuru  
損する,そんする,to lose; to be at a disadvantage,sonsuru  
言い返す,いいかえす,to retort,iikaesu  
体温計,たいおんけい,thermometer,taionkei  
後戻り,あともどり,turning back; going back,atomodori  
話し声,はなしごえ,talking voice,hanashigoe  
くるくる,くるくる,twirling; spinning,kurukuru  
怖がる,こわがる,to be scared,kowagaru  
人違い,ひとちがい,misidentification,hitotigai  
取り返す,とりかえす,to take back,torkaesu  
乗り降り,のりおり,getting on and off,noriori  
口喧嘩,くちげんか,verbal argument,kochikenka  
起き上がる,おきあがる,to get up; rise,okiagaru  
ぶら下がる,ぶらさがる,to hang down,burasagaru  
飛び上がる,とびあがる,to jump up,tobiagaru  
泣き声,なきごえ,crying voice,nakigoe  
持ち物,もちもの,possession,mochimono  
細長い,ほそながい,long and narrow,hosonagai  
出入り口,でいりぐち,entrance and exit,deiriguchi  
正座,せいざ,sitting in a formal posture,seiza  
大喜び,おおよろこび,great joy,oo yorokobi  
落とし物,おとしもの,lost item,otoshimono  
じゃんじゃん,じゃんじゃん,freely; continuously,janjan  
見違える,みちがえる,to be unrecognizable; or greatly improved,michigaeru  
合理的,ごうりてき,logical; rational,gouriteki  
自主的,じしゅてき,self-motivated; voluntary,jishuteki  
全面的,ぜんめんてき,comprehensive; total,zenmenteki  
円高,えんだか,strong yen,endaka  
消費者,しょうひしゃ,consumer,shouhisha  
日中,にっちゅう,daytime; Japan-China,nitchuu  
明日,あす,tomorrow (rather formal),asu 
結構,けっこう,quite; good,kekkou  
辛い,つらい,painful; painstaiking,tsurai  
まずい,まずい,unpleasant; bad; tasteless,mazui  
上下,うえした,up and down,ueshita  
生,なま,raw; life,nama  
よける,よける,to avoid,yokeru  
がやがや,がやがや,noisy; clattering,gayagaya  
赤ん坊,あかんぼう,baby,akanbou  
ワープロ,ワープロ,word processor,waapuro  
新聞社,しんぶんしゃ,newspaper company,shinbunsha  
寝かす,ねかす,to put to bed,nekasu  
者,もの,person; thing,mono  
中,ちゅう,middle; medium sized, chuu  
性,せい,gender; nature,se  
会,かい,meeting,kai  
事,こと,thing; matter,koto  
今日,きょう,today,kyou  
点,てん,point; mark,ten  
バック,バック,back,akku  
記事,きじ,article;news,kiji  
大,おお,large; big,oo  
法,ほう,law,hou  
非常,ひじょう,emergency; extraordinary,hijou  
ただ,ただ,just; only,tada  
感じ,かんじ,feeling; sense,kanji  
環境,かんきょう,environment,kankyou  
理解,りかい,understanding,rikai  
県,けん,region; prefecture,ken  
使用,しよう,usage; use,shiyou  
主義,しゅぎ,principle; ism,shugi  
国民,こくみん,nation's people; citizens,kokumin  
下,した,under; lower,shita  
場,ば,place; spot,ba  
労働,ろうどう,labor,roudou  
機会,きかい,opportunity,kikai  
製品,せいひん,product,seihin  
自身,じしん,self; confidence,jishin  
かかる,かかる,to take (time; effort); this kind of,kakaru  
求める,もとめる,to seek; to request,mo to meru  
下さる,くださる,to give (humble),kudasaru  
昨日,さくじつ,yesterday(formal),sakujitsu  
元,もと,origin; former,moto  
型,かた,model; type,kata  
それぞれ,それぞれ,each;respectively,sorezore  
地方,ちほう,region; district,chi hou  
面,めん,surface; face,men  
実は,じつは,actually,jitsu wa  
夜,よる,night; evening,yoru  
地,ち,earth; land,chi  
議論,ぎろん,discussion; argument,giron  
以前,いぜん,ago; before,izen  
専門,せんもん,expertise; specialty,senmon  
申し上げる,もうしあげる,to say (humble),moushiageru  
行動,こうどう,action; behavior,koudou  
率,りつ,rate; ratio,ritsu  
監督,かんとく,direction; supervision,kantoku  
意識,いしき,consciousness;awareness,ishiki  
認める,みとめる,to recognize; to admit,mitomeru  
参考,さんこう,reference,sankou  
チーム,チーム,team,chiimu  
現実,げんじつ,reality,genjitsu  
価値,かち,value,kachi  
テーマ,テーマ,theme,teema  
含む,ふくむ,to include,fukumu  
際,さい,occasion;situation,sai  
全て,すべて,all; everything,subete  
大臣,だいじん,minister (government),daijin  
国家,こっか,nation,kokka  
試合,しあい,match; game,shiai  
結局,けっきょく,after all; in the end, kekkyoku  
消費,しょうひ,consumption,shouhi  
人生,じんせい,lifetime; life,jinsei  
量,りょう,quantity; amount,ryou  
精神,せいしん,spirit; mind,seishin  
レベル,レベル,level,reberu  
我々,われわれ,we (humble),wareware  
指導,しどう,leadership; guidance,shidou  
明日,みょうにち,tomorrow(very formal),myounichi
資料,しりょう,data; materials,shiryou  
団体,だんたい,organization,dantai  
最も,もっとも,most; extremely,mottomo  
完全,かんぜん,complete; perfect,kanzen  
品,ひん,product; item,hin  
男性,だんせい,man; male,dansei  
軍,ぐん,military,gun  
描く,えがく,to draw; to depict,egaku  
最終,さいしゅう,final; last,saishuu  
センター,センター,center,sentaa  
障害,しょうがい,obstacle; disability,shougai  
医療,いりょう,medical care,iryou  
頂く,いただく,to receive (humble),itadaku  
金融,きんゆう,finance; financial,kin'yu  
学ぶ,まなぶ,to learn,manabu  
成長,せいちょう,growth,seichou  
登場,とうじょう,appearance; entry,toujou  
知識,ちしき,knowledge,chishiki  
友人,ゆうじん,friend,yuujin  
イメージ,イメージ,image,imeeji  
トップ,トップ,top,toppu  
税,ぜい,tax,zei  
変更,へんこう,change; modification,henkou  
限り,かぎり,limit; extent,kagiri  
式,しき,ceremony; style,shiki  
展開,てんかい,deployment; development,tenkai  
興味,きょうみ,interest,kyoumi  
含める,ふくめる,to include,fukumeru  
編集,へんしゅう,editing,henshuu  
選択,せんたく,selection; choice,sentaku  
無料,むりょう,free (of charge),muryou  
身,み,body; self,mi  
分析,ぶんせき,analysis,bunseki  
予算,よさん,budget,yosan  
目標,もくひょう,goal;motive,mokuhyou  
通信,つうしん,communication,tuushin  
向ける,むける,to face; to turn toward,mukeru  
時刻,じこく,time; hour,jikoku  
逆,ぎゃく,reversal; opposite,gyaku  
最高,さいこう,highest; best,saikou  
利益,りえき,profit; benefit,rieki  
事務,じむ,administration; office work,jimu  
出版,しゅっぱん,publishing,shuppan  
プロ,プロ,professional, puro  
様々,さまざま,various,samazama  
州,しゅう,state; province,shuu  
共通,きょうつう,common; shared,kyoutsuu  
現代,げんだい,modern times; present age,gendai  
被害,ひがい,damage; harm,higai  
新た,あらた,new; fresh,arata  
相当,そうとう,corresponding to;suitable,soutou  
更新,こうしん,renewal; update,koushin  
得る,える,to get; to gain,eru  
内,うち,inside; within,uchi  
維持,いじ,maintenance; preservation,iji  
料金,りょうきん,charge; fee,ryoukin  
到着,とうちゃく,arrival,touchaku  
なま物,なまもの,perishable goods,namamono
章,しょう,chapter; section,shou  
メンバー,メンバー,member,menbaa  
演奏,えんそう,performance (music),ensou  
案,あん,plan; proposal,an  
希望,きぼう,hope; wish,kibou  
記憶,きおく,memory,kioku  
モデル,モデル,model,moderu  
方々,ほうぼう,various people; directions,houbou  
発売,はつばい,release; sale,hatubai  
話題,わだい,topic; subject,wadai  
目指す,めざす,to aim for,mezasu  
建築,けんちく,architecture,kenchiku  
印象,いんしょう,impression,insyou  
権利,けんり,rights,kenri  
学習,がくしゅう,learning,gakushuu  
発展,はってん,development,hatten  
現場,げんば,site; scene,genba  
気分,きぶん,mood;kibun  
移動,いどう,movement; transfer,idou  
発行,はっこう,issue (publication),hakkou  
宗教,しゅうきょう, religion,shuukyou  
改正,かいせい,revision; amendment,kaisei  
倍,ばい,times; double,bai  
不安,ふあん,anxiety; worry,fuan  
自ら,みずから,oneself,mizukara  
広告,こうこく,advertisement,koukoku  
共同,きょうどう,cooperation,kyoudou  
年代,ねんだい,era; age,ndai  
タイプ,タイプ,type,taipu  
差,さ,difference,sa  
営業,えいぎょう,sales; business,eigyou  
役割,やくわり,role; part,yakuwari  
改善,かいぜん,improvement,kaizen  
撮影,さつえい,photography; filming,satsuei  
エネルギー,エネルギー,energy,enerugii  
憲法,けんぽう,constitution,kenpou  
感謝,かんしゃ,gratitude, kansha  
感覚,かんかく,sense; sensation,kankaku  
旅,たび,trip; travel,tabi  
合わせる,あわせる,to match; to combine,awaseru  
既に,すでに,already,sudeni  
現状,げんじょう,current situation,genjou  
先日,せんじつ,the other day,senjitsu  
中央,ちゅうおう,center; middle,chuou  
似る,にる,to resemble,niru  
平均,へいきん,average,heikin  
末,すえ,end; tip,sue  
追加,ついか,addition; supplement,tsuika  
なさる,なさる,to do (honorific),nasaru  
様子,ようす,appearance; situation,yousu  
活用, かつよう, conjugation, katsuyou  
交換, こうかん, exchange, koukan  
整備, せいび, maintenance, seibi  
想像, そうぞう, imagination, souzou  
ああ, ああ, ah, aa  
満足, まんぞく, satisfaction, manzoku  
以降, いこう, after, ikou  
比較, ひかく, comparison, hikaku  
クラス, クラス, class, kurasu  
犯罪, はんざい, crime, hanzai  
おっしゃる, おっしゃる, to say (honorific), ossharu  
特定, とくてい, specific, tokutei  
基礎, きそ, basis, kiso  
流れ, ながれ, flow, nagare  
どうも, どうも, thanks, doumo  
村, むら, village, mura  
安定, あんてい, stability, antei  
本人, ほんにん, the person, honnin  
雰囲気, ふんいき, atmosphere, fun'iki  
会場, かいじょう, venue, kaijou  
電子, でんし, electronic, denshi  
文, ぶん, sentence, bun  
範囲, はんい, range, han'i  
常に, つねに, always, tsuneni  
失う, うしなう, to lose, ushinau  
日常, にちじょう, daily life, nichijou  
回答, かいとう, answer, kaitou  
体制, たいせい, system, taisei  
調整, ちょうせい, adjustment, chousei  
疑問, ぎもん, doubt, gimon  
応援, おうえん, support, ouen  
感想, かんそう, impression, kansou  
解説, かいせつ, explanation, kaisetsu  
シリーズ, シリーズ, series, shiirizu  
公共, こうきょう, public, koukyou  
民間, みんかん, private sector, minkan  
裁判, さいばん, trial, saiban  
組合, くみあい, union, kumiai  
本来, ほんらい, originally, honrai  
一体, いったい, what on earth, ittai  
宇宙, うちゅう, space, uchuu  
申す, もうす, to say (humble), mousu  
図, ず, diagram, zu  
クラブ, クラブ, club, kurabu  
観光, かんこう, tourism, kankou  
提出, ていしゅつ, submission, teishutsu  
以来, いらい, since, irai  
離れる, はなれる, to separate, hanareru  
生, いき, life, iki  
性格, せいかく, character, seikaku
検査, けんさ, inspection, kensa  
信頼, しんらい, trust, shinrai  
人物, じんぶつ, person, jinbutsu  
触れる, ふれる, to touch, fureru  
記念, きねん, commemoration, kinen  
役, やく, role, yaku  
費用, ひよう, cost, hiyou  
指定, してい, designation, shitei  
感情, かんじょう, emotion, kanjou  
空, そら, sky, sora  
関わる, かかわる, to involve, kakawaru  
仲間, なかま, companion, nakama  
整理, せいり, sorting, seiri  
至る, いたる, to reach, itaru  
独立, どくりつ, independence, dokuritsu  
賞, しょう, award, shou  
誕生, たんじょう, birth, tanjou  
いらっしゃる, いらっしゃる, to go (honorific), irassharu  
都, みやこ, capital city, miyako  
全員, ぜんいん, all members, zen'in  
明確, めいかく, clear, meikaku  
少なくとも, すくなくとも, at least, sukunakutomo  
セット, セット, set, setto  
魅力, みりょく, charm, miryoku  
きちんと, きちんと, properly, kichinto  
手段, しゅだん, means, shudan  
有効, ゆうこう, effective, yuukou  
集中, しゅうちゅう, concentration, shuuchuu  
現象, げんしょう, phenomenon, genshou  
感動, かんどう, emotion, kandou  
禁止, きんし, prohibition, kinshi  
会員, かいいん, member, kaiin  
過ごす, すごす, to spend time, sugosu  
納得, なっとく, agreement, nattoku  
収入, しゅうにゅう, income, shuunyuu  
レポート, レポート, report, repooto  
年齢, ねんれい, age, nenrei  
舞台, ぶたい, stage, butai  
交通, こうつう, traffic, koutsuu  
他人, たにん, other people, tanin  
組, くみ, group, kumi  
否定, ひてい, denial, hitei  
扱う, あつかう, to handle, atsukau  
修正, しゅうせい, correction, shuusei  
一応, いちおう, just in case, ichiou  
生じる, しょうじる, to occur, shoujiru  
訪問, ほうもん, visit, houmon  
引用, いんよう, quotation, inyou  
芸術, げいじゅつ, art, geijutsu  
解釈, かいしゃく, interpretation, kaishaku
行, こう, action, kou  
結論, けつろん, conclusion, ketsuron  
困難, こんなん, difficulty, konnan  
回復, かいふく, recovery, kaifuku  
適用, てきよう, application, tekiyou  
集団, しゅうだん, group, shuudan  
事態, じたい, situation, jitai  
スタート, スタート, start, sutaato  
更に, さらに, furthermore, sarani  
活躍, かつやく, activity, katsuyaku  
命, いのち, life, inochi  
医師, いし, doctor, ishi  
おる, おる, to be (humble), oru  
現れる, あらわれる, to appear, arawareru  
講演, こうえん, lecture, kouen  
瞬間, しゅんかん, moment, shunkan  
交流, こうりゅう, exchange, kouryuu  
標準, ひょうじゅん, standard, hyoujun  
まるで, まるで, just like, marude  
スタイル, スタイル, style, sutairu  
関心, かんしん, interest, kanshin  
取り上げる, とりあげる, to pick up, toriageru  
伝統, でんとう, tradition, dentou  
民主, みんしゅ, democracy, minshu  
制限, せいげん, restriction, seigen  
投票, とうひょう, vote, touhyou  
心理, しんり, psychology, shinri  
大体, だいたい, roughly, daitai  
突然, とつぜん, suddenly, tozenn  
思想, しそう, thought, shisou  
応じる, おうじる, to respond, oujiru  
不足, ふそく, shortage, fusoku  
コード, コード, code, koodo  
世の中, よのなか, world, yononaka  
項目, こうもく, item, koumoku  
旧, きゅう, old, kyuu  
次第, しだい, depending on, shidai  
長期, ちょうき, long-term, chouki  
著者, ちょしゃ, author, chosha  
罪, つみ, sin, tsumi  
楽, らく, comfort, raku  
操作, そうさ, operation, sousa  
支配, しはい, control, shihai  
態度, たいど, attitude, taido  
過程, かてい, process, katei  
バランス, バランス, balance, baransu  
連続, れんぞく, sequence, renzoku  
機関, きかん, institution, kikan  
論, ろん, argument, ron  
島, とう, island, tou
